127.0.0.1 - - [09/Nov/2023:09:21:56 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/ HTTP/1.1" 200 47127
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/portfolio/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/portfolio/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/portfolio/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/portfolio/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/portfolio/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/portfolio/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/about/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/assets/img/map-image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/logos/microsoft.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/logos/facebook.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/logos/google.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/logos/ibm.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:20 +0900] "GET /controller/resources/img/close-icon.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:30 +0900] "GET /controller/login/in HTTP/1.1" 200 6786
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:30 +0900] "GET /controller/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:30 +0900] "GET /controller/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:30 +0900] "GET /controller/resources/img/left.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:30 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:36 +0900] "POST /controller/login/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:36 +0900] "GET /controller/ HTTP/1.1" 200 47137
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:36 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/follow HTTP/1.1" 200 17988
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/css/follow_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/board/image10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/board/image9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/board/image8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/board/image7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/board/image6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/js/follow_js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/js/follow_js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/js/follow_js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/js/follow_js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/js/follow_js/jquery.dropotron.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/js/follow_js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/js/follow_js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/js/follow_js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/board/image5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:38 +0900] "GET /controller/resources/board/image4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:22:39 +0900] "GET /controller/images/arrow.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:25:02 +0900] "GET /controller/follow HTTP/1.1" 200 17988
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:25:03 +0900] "GET /controller/images/arrow.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/follow HTTP/1.1" 200 17989
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/board/image9.jpg HTTP/1.1" 200 12643
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/board/image10.jpg HTTP/1.1" 200 20735
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/css/follow_styles.css HTTP/1.1" 200 259772
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/board/image8.jpg HTTP/1.1" 200 14521
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/board/image7.jpg HTTP/1.1" 200 18024
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/board/image6.jpg HTTP/1.1" 200 31042
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/js/scripts.js HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/js/follow_js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/js/follow_js/jquery.dropotron.min.js HTTP/1.1" 200 5106
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/js/follow_js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [09/Nov/2023:09:26:28 +0900] "GET /controller/resources/js/follow_js/jquery.scrollex.min.js HTTP/1.1" 200 2257
